Star,Program_ID,Program_timeline,parallax,uncertainty_parallax,reference_parallax,Distance,Uncertainty_distance_positive,uncertainty_distance_negative,reference_distance,Spectral_Type,reference_spectral_type,2MASS_Designation,Region,reference_region,Log_Mstar,uncertainty_positive_Log_Mstar,uncertainty_negative_Log_Mstar,Mstar,reference_Mstar,Mdisk,uncertainty_Mdisk,reference_Mdisk,R95,reference_R95,R90,reference_R90,R68,reference_R68,uncertainty_R95_positive,uncertainty_R95_negative,T_eff,uncertainty_Teff,reference_log_Teff,log_Lstar,uncertainty_log_Lstar,reference_log_Lstar,log_tstar,log_tstar_lessthan,uncertainty_log_tstar_positive,uncertainty_log_tstar_negative,reference_log_tstar,log_accretion_rate,log_accretion_rate_lessthan,log_uncertainty_accretion_rate,Accrection_rate,reference_accretion_rate,A_v,reference_A_v,disk_inclination,uncertainty_disk_inclination_positive,uncertainty_disk_inclination_negative,reference_disk_inclination,bright_ring_number,reference_bright_ring_number,dark_gap_number,reference_dark_gap_number,Disk_has_Rings,reference_Disk_has_Rings,Annular_Substructures,reference_Annular_Substructures,Disk_has_spirals,reference_Disk_has_spirals,Disk_Asymmetry,reference_Disk_Asymmetry,Transition_Disk,reference_Transition_Disk,Star_system,reference_star_system
SR 4,1584,"Feb 27, 2023 - Apr 13, 2023 (2023.058 - 2023.103)",7.420843714,0.027534898,gaia_dr3_parallaxes,134.7555667,0.5000079407,0.5000079407,gaia_dr3_parallaxes,K7,luhman_1999,J16255615–2420481,Oph L1688,andrews_2018,-0.17,0.11,-0.14,0.6760829754,andrews_2018,-99,-99,,31.00,huang_2018,-99,-99,-99.00,-99,1.00,1.00,4073.80,187.61,andrews_2010,0.07,0.2,andrews_2010,5.9,0,0.4,0.4,andrews_2018,-6.9,0,0.5,0.0000001258925412,natta_2006,0.50,wilking_2005,22.00,2.00,2.00,huang_2018,1,huang_2018,1,huang_2018,TRUE,huang_2018,TRUE,huang_2018,FALSE,huang_2018,TRUE,huang_2018,,,Single,andrews_2018
Elias 20,1584,"Feb 27, 2023 - Apr 4, 2023 (2023.058 - 2023.094)",7.271259299,0.20920326,gaia_dr3_parallaxes,137.5277595,3.956846324,3.956846324,gaia_dr3_parallaxes,M0,natta_2006,J16261886–2428196,Oph L1688,andrews_2018,-0.32,0.12,-0.07,0.4786300923,andrews_2018,0.029,-99,andrews_2009,64.00,huang_2018,-99,-99,45.00,tripathi_2017,1.00,1.00,3890.45,268.74,andrews_2009,0.35,0.2,andrews_2009,5.9,1,0.0,0.0,andrews_2018,-6.9,0,0.5,0.0000001258925412,natta_2006,14.00,natta_2006,49.00,1.00,1.00,huang_2018,2,huang_2018,2,huang_2018,TRUE,huang_2018,TRUE,huang_2018,FALSE,huang_2018,FALSE,huang_2018,,,Single,andrews_2018
DoAr 25,1584,"Jul 17, 2023 - Sep 7, 2023 (2023.198 - 2023.250)",7.237937625,0.04289187,gaia_dr3_parallaxes,138.1609033,0.8187386806,0.8187386806,gaia_dr3_parallaxes,K5,wilking_2005,J16262367–2443138,Oph L1688,andrews_2018,-0.02,0.04,-0.19,0.954992586,andrews_2018,0.136,-99,andrews_2009,165.00,huang_2018,-99,-99,117.00,tripathi_2017,1.00,1.00,4265.80,294.67,andrews_2009,-0.02,0.2,andrews_2009,6.3,0,0.4,0.4,andrews_2018,-8.3,0,0.5,0.000000005011872336,muzerolle_1998,2.90,wilking_2005,67.40,0.20,0.20,huang_2018,3,huang_2018,3,huang_2018,TRUE,huang_2018,TRUE,huang_2018,FALSE,huang_2018,FALSE,huang_2018,,,Single,andrews_2018
Elias 24,1584,"Feb 27, 2023 - Apr 13, 2023 (2023.058 - 2023.103)",7.180888047,0.06386648,gaia_dr3_parallaxes,139.258542,1.238558912,1.238558912,gaia_dr3_parallaxes,K5,wilking_2005,J16262407–2416134,Oph L1688,andrews_2018,-0.11,0.16,-0.08,0.7762471166,andrews_2018,-99,-99,,136.00,huang_2018,-99,-99,93.00,tripathi_2017,1.00,1.00,4265.80,294.67,andrews_2010,0.78,0.2,andrews_2010,5.3,0,0.4,0.4,andrews_2018,-6.4,0,0.5,0.0000003981071706,natta_2006,7.50,wilking_2005,29.00,0.30,0.30,huang_2018,2,huang_2018,2,huang_2018,TRUE,huang_2018,TRUE,huang_2018,FALSE,huang_2018,FALSE,huang_2018,,,Single,andrews_2018
Elias 27,1584,"Jul 17, 2023 - Sep 7, 2023 (2023.198 - 2023.250)",9.085300856,0.8505075,gaia_dr3_parallaxes,110.0679015,10.30384984,10.30384984,gaia_dr3_parallaxes,M0,luhman_1999,J16264502–2423077,Oph L1688,andrews_2018,-0.31,0.15,-0.11,0.4897788194,andrews_2018,-99,-99,,254.00,huang_2018,-99,-99,162.00,tripathi_2017,1.00,1.00,3890.45,268.74,andrews_2009,-0.04,0.23,andrews_2009,5.9,0,0.5,0.5,andrews_2018,-7.2,0,0.5,0.00000006309573445,natta_2006,15.00,luhman_1999,56.20,0.80,0.80,huang_2018,1,huang_2018,1,huang_2018,TRUE,huang_2018,TRUE,huang_2018,TRUE,huang_2018,UNSURE,huang_2018,,,Single,andrews_2018
DoAr 33,1584,"Feb 27, 2023 - Apr 4, 2023 (2023.058 - 2023.094)",7.064637542,0.019789284,gaia_dr3_parallaxes,141.5500787,0.3965065003,0.3965065003,gaia_dr3_parallaxes,K4,bouvier_1992,J16273901–2358187,Oph L1688,andrews_2018,0.04,0.05,-0.17,1.096478196,andrews_2018,-99,-99,,27.00,huang_2018,-99,-99,-99.00,-99.00,1.00,1.00,4466.84,308.56,andrews_2010,0.18,0.2,andrews_2010,6.2,0,0.4,0.4,andrews_2018,-99,0,-99,-99,andrews_2010,3.70,wilking_2005,41.80,0.80,0.80,huang_2018,1,huang_2018,1,huang_2018,TRUE,huang_2018,TRUE,huang_2018,FALSE,huang_2018,FALSE,huang_2018,,,Single,andrews_2018
WSB 52,1584,"Feb 27, 2023 - Apr 13, 2023 (2023.058 - 2023.103)",7.392533799,0.050499108,gaia_dr3_parallaxes,135.2716169,0.9240533999,0.9240533999,gaia_dr3_parallaxes,M1,luhman_1999,J16273942–2439155,Oph L1688,andrews_2018,-0.32,0.13,-0.17,0.4786300923,andrews_2018,-99,-99,,32.00,huang_2018,-99,-99,59.00,tripathi_2017,1.00,1.00,3715.35,256.65,andrews_2010,-0.15,0.2,andrews_2010,5.8,0,0.5,0.5,andrews_2018,-7.6,0,0.5,0.00000002511886432,natta_2006,7.10,wilking_2005,54.40,0.30,0.30,huang_2018,1,huang_2018,1,huang_2018,TRUE,huang_2018,TRUE,huang_2018,FALSE,huang_2018,FALSE,huang_2018,,,Single,andrews_2018
WaOph 6,1282,"Jul 21, 2023 - Sep 10, 2023 (2023.202 - 2023.253)",8.161460856,0.023129027,gaia_dr3_parallaxes,122.527084,0.347233453,0.347233453,gaia_dr3_parallaxes,K6,eisner_2005,J16484562–1416359,Oph N 3a,andrews_2018,-0.17,0.17,-0.09,0.6760829754,andrews_2018,0.077,-99,andrews_2009,103.00,huang_2018,-99,-99,-99.00,-99.00,1.00,1.00,4168.69,287.96,andrews_2009,0.46,0.2,andrews_2009,5.5,0,0.5,0.5,andrews_2018,-6.6,0,0.5,0.0000002511886432,eisner_2005,3.60,eisner_2005,47.30,0.70,0.70,huang_2018,1,huang_2018,1,huang_2018,TRUE,huang_2018,TRUE,huang_2018,TRUE,huang_2018,TRUE,huang_2018,,,Single,andrews_2018
AS 209,1584,"Jul 21, 2023 - Sep 11, 2023 (2023.202 - 2023.254)",8.247730841,0.029025314,gaia_dr3_parallaxes,121.2454697,0.4266855814,0.4266855814,gaia_dr3_parallaxes,K5,herbig_1988,J16491530–1422087,Oph N 3a,andrews_2018,-0.08,0.11,-0.14,0.8317637711,andrews_2018,0.028,-99,andrews_2009,139.00,huang_2018,-99,-99,91.00,tripathi_2017,1.00,1.00,4265.80,294.67,andrews_2009,0.15,0.2,andrews_2009,6.0,0,0.4,0.4,andrews_2018,-7.3,0,0.5,0.00000005011872336,salyk_2013,0.90,herbig_1988,34.97,0.13,0.13,huang_2018,7,huang_2018,7,huang_2018,TRUE,huang_2018,TRUE,huang_2018,FALSE,huang_2018,UNSURE,huang_2018,,,Single,andrews_2018
HD 163296,1584,"Aug 8, 2023 - Sep 27, 2023 (2023.220 - 2023.270)",9.904265031,0.040762495,gaia_dr3_parallaxes,100.9666035,0.4155432691,0.4155432691,gaia_dr3_parallaxes,A1,fairlamb_2015,J17562128–2157218,Isolated?,andrews_2018,0.31,0.05,-0.03,2.041737945,andrews_2018,-99,-99,,169.00,huang_2018,-99,-99,115.00,tripathi_2017,1.00,1.00,9332.54,644.67,fairlamb_2015,1.23,0.3,fairlamb_2015,7.1,0,0.6,0.6,andrews_2018,-7.4,0,0.3,0.00000003981071706,fairlamb_2015,0.00,fairlamb_2015,46.70,0.10,0.10,huang_2018,4,huang_2018,4,huang_2018,TRUE,huang_2018,TRUE,huang_2018,FALSE,huang_2018,TRUE,andrews_2018,,,Single,andrews_2018
